CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Surprise_Opaque_Fees,Security,Scheme_Personalization,Minimum_Required_Balance,Server_Maintenance_Count,Customer_Rating,Average_Complaints,Customer_Feedback,Complaint_Type,Attrition_Flag_Encoded,Gender_Encoded,Education_Level_Encoded,Marital_Status_Encoded,Income_Category_Encoded,Card_Category_Encoded,Inactivity_Flag,Engagement_Score,Trans_Freq_3M,High_Value_Customer,AI_Engagement_Trigger,Days_Since_Last_Transaction,Inactive_90Days_Flag,Cluster,Customer_Status,PCA1,PCA2,Segment,Recommended_Offers,Churn
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0,1,0,0,3,1.5,1,Resolved my issue quickly.,0,1,1,5,3,0,0,1,5.087719298245615,4.064516129032258,0,0,21.627906976744185,0,0,Others,0.6253342490865968,0.40184436288315845,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,1,0,0,6,0.2,6,The app is easy to use.,0,1,1,6,1,1,0,0,2.7192982456140347,1.4444444444444444,0,0,60.0,0,0,At Risk,4.384389149037241,-2.5224732245026296,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0,1,0,1,4,3.9,8,The app is easy to use.,0,1,1,0,2,3,0,1,3.684210526315789,1.4166666666666667,1,1,60.0,0,2,At Risk,1.984680842729155,-1.9274529946135266,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0,1,1,0,0,0.3,7,Happy with the interest rates.,0,1,1,2,3,2,0,0,2.456140350877192,3.3,0,0,26.47058823529412,0,0,Others,0.1527981808031716,-1.8736813540378208,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,1,0,0,4,4.0,9,Happy with the interest rates.,0,1,0,2,1,4,0,0,4.473684210526316,1.8125,0,0,48.0,0,2,At Risk,3.442899393637395,-0.6714234400179593,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0,1,0,0,1,2.9,0,Long wait times for customer service.,2,1,1,6,3,3,0,0,6.666666666666666,2.189189189189189,0,0,39.642857142857146,0,3,At Risk,1.51386966482738,1.1126869055541269,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,0
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0,1,0,1,3,4.9,1,Need to improve mobile app features.,3,1,1,4,2,3,0,0,8.596491228070175,2.25,1,0,38.57142857142857,0,3,At Risk,1.8668188145839568,2.835587335717007,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,0
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,1,0,1,0,0.8,2,Long wait times for customer service.,2,1,1,6,1,3,0,1,3.5964912280701755,1.8529411764705883,1,1,46.36363636363637,0,3,At Risk,1.9098232324916118,-0.9977356897046278,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,0
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0,1,0,0,0,4.1,10,Happy with the interest rates.,0,1,1,3,1,1,0,0,4.7368421052631575,1.6071428571428572,0,0,54.193548387096776,0,0,At Risk,3.5734403005471975,-1.3766531549526768,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,1,0,1,1,1.7,3,Long wait times for customer service.,2,1,0,2,1,5,0,0,4.561403508771929,1.7027027027027026,1,0,50.45454545454545,0,3,At Risk,2.7985746889043597,-0.12077886453873699,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,0
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0,1,0,1,3,2.4,2,Friendly and efficient service.,0,1,1,1,0,2,0,0,4.473684210526316,1.9285714285714288,1,0,45.0,0,0,At Risk,2.3691297557794178,-0.39563445784299656,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0,1,0,0,7,3.3,6,Need to improve mobile app features.,3,0,0,2,1,4,0,1,5.438596491228069,0.979591836734694,0,0,86.47058823529412,0,3,At Risk,5.9413290111195955,0.044782603432969484,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,1
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0,1,0,0,6,2.6,6,The app is easy to use.,0,1,1,3,1,1,0,0,3.7719298245614032,1.6363636363636365,0,0,52.10526315789474,0,2,At Risk,1.9887053297596895,-0.9590783617253245,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,1,0,0,7,0.3,5,"No issues, everything works fine.",0,1,0,6,2,4,0,1,2.631578947368421,1.9166666666666667,0,1,45.0,0,0,At Risk,2.5334997379705113,-1.8235619507531824,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0,1,0,1,3,0.5,8,Complaint about unexpected fees.,4,1,1,6,1,3,0,0,2.2807017543859645,1.5,1,0,57.27272727272727,0,1,At Risk,3.640446964498378,-1.9558766043542246,At Risk,Retention Discount / Cashback; Personalized Outreach / Call; Loyalty Points Boost,0
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,1,1,0,2,0.9,7,Smooth and easy process.,0,1,0,2,2,4,0,0,2.456140350877193,2.357142857142857,0,0,36.52173913043478,0,0,At Risk,1.627949457483208,-1.5965339575944608,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0,1,0,1,7,4.6,10,Difficulty accessing my account.,3,1,1,3,3,1,0,0,4.649122807017544,1.5,1,0,57.5,0,1,At Risk,3.6168319556990056,-0.6440889908987424,At Risk,Retention Discount / Cashback; Personalized Outreach / Call; Loyalty Points Boost,0
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0,1,0,1,5,0.6,8,Smooth and easy process.,0,1,1,6,1,2,0,1,1.8421052631578945,2.142857142857143,0,1,40.97560975609756,0,2,At Risk,2.9803745713333423,-2.938791418613231,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0,1,0,1,7,1.3,9,"No issues, everything works fine.",0,1,0,5,2,5,0,0,2.1052631578947367,1.588235294117647,0,0,53.68421052631579,0,2,At Risk,2.5991091882161124,-1.9878498679198295,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0,1,0,0,1,4.2,2,Long wait times for customer service.,2,1,1,3,1,1,0,0,6.052631578947368,2.7142857142857144,0,0,32.30769230769231,0,3,At Risk,1.6356640269727798,0.7860871814479212,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,0
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0,1,0,0,1,1.0,10,Need to improve mobile app features.,3,1,1,6,1,3,0,0,2.017543859649123,2.272727272727273,0,0,38.07692307692308,0,1,Others,1.4137377618332934,-3.0043940936628575,At Risk,Retention Discount / Cashback; Personalized Outreach / Call; Loyalty Points Boost,0
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0,1,0,0,1,0.7,4,Smooth and easy process.,0,1,1,5,1,2,0,1,2.8070175438596485,1.625,0,1,53.333333333333336,0,0,At Risk,2.8335927665105474,-2.5642078762048293,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0,1,0,0,7,4.9,5,The app is easy to use.,0,1,1,2,1,2,0,0,6.666666666666666,2.0,0,0,43.2,0,0,Others,1.315465702520072,0.956715408629006,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,1,0,0,1,4.9,6,Friendly and efficient service.,0,1,0,0,1,4,0,0,6.842105263157895,2.210526315789474,0,0,39.310344827586206,0,0,At Risk,2.418241500029203,1.0485836663570973,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0,1,0,1,6,2.1,3,The ATM was out of order.,0,1,1,2,1,3,0,0,4.912280701754386,1.469387755102041,1,0,58.8,0,0,At Risk,4.4077732908660545,-0.326972578841136,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0,1,0,0,4,3.3,9,The ATM was out of order.,0,1,0,0,2,4,0,0,3.333333333333333,3.583333333333333,0,0,24.545454545454547,0,0,At Risk,1.519709540361279,-1.3949753258549635,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0,1,0,0,1,4.5,6,Had a billing complaint.,1,1,0,2,1,4,0,0,6.491228070175438,3.083333333333333,0,0,28.42105263157895,0,0,Others,1.6033816675393273,0.6002457575739978,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0,0,0,1,1,0.8,4,Difficulty accessing my account.,3,1,0,3,1,4,1,1,3.947368421052632,1.8333333333333333,1,1,46.95652173913044,0,1,At Risk,2.0386447930781957,-0.46759213799048827,At Risk,Retention Discount / Cashback; Personalized Outreach / Call; Loyalty Points Boost,0
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0,1,0,0,5,3.7,5,Customer support was slow to respond to my issue.,2,1,0,2,3,1,0,1,5.614035087719298,1.7142857142857142,0,0,50.689655172413794,0,3,At Risk,3.5568866378690496,0.16167845360477234,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,0
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0,1,0,0,7,4.5,2,Friendly and efficient service.,0,0,0,1,1,5,0,1,7.894736842105263,0.8571428571428571,0,0,98.82352941176472,1,2,At Risk,7.484961761720158,1.7695979395497254,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,1
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0,1,0,1,3,1.9,10,Friendly and efficient service.,0,1,1,2,2,3,0,0,2.2807017543859645,2.048780487804878,1,0,42.41379310344828,0,2,At Risk,1.8561314896524912,-1.6886211351293716,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,0,1,0,0,5,0.9,1,"Great service, very helpful staff.",0,1,1,6,1,1,0,0,3.508771929824561,1.9090909090909087,0,0,45.51724137931034,0,0,At Risk,2.5918667806270217,-1.3735961385414523,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0,0,0,1,3,4.4,2,The app is easy to use.,0,1,0,0,2,1,3,0,7.807017543859649,2.302325581395349,1,0,37.94117647058823,0,0,At Risk,1.8961799196179148,1.8408761935680813,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0,1,0,0,1,1.6,8,I had a complaint about a transaction error.,1,1,1,3,1,2,0,0,2.1929824561403506,2.5945945945945947,0,0,33.63636363636363,0,2,At Risk,1.5863194284508313,-1.958192466902375,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0,1,1,0,2,0.4,7,Need to improve mobile app features.,3,1,0,2,2,5,0,1,2.5438596491228065,2.4642857142857144,0,1,35.0,0,1,At Risk,1.0199222574652325,-1.5968240766658015,At Risk,Retention Discount / Cashback; Personalized Outreach / Call; Loyalty Points Boost,0
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0,1,1,1,2,0.3,4,Need to improve mobile app features.,3,1,1,5,2,3,0,0,3.5087719298245608,2.8,1,0,31.03448275862069,0,2,At Risk,0.7526283662471068,-0.7485855974590748,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0,1,0,0,7,0.9,5,Difficulty accessing my account.,3,1,1,1,1,2,0,0,2.1052631578947367,1.8,0,0,48.21428571428572,0,1,At Risk,2.9408602614178125,-2.749657366195861,At Risk,Retention Discount / Cashback; Personalized Outreach / Call; Loyalty Points Boost,0
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0,1,0,0,7,1.5,6,Complaint about unexpected fees.,4,1,1,1,1,1,0,0,3.333333333333333,1.5576923076923077,0,0,55.71428571428572,0,1,At Risk,3.1458259880961665,-2.4803864116345125,At Risk,Retention Discount / Cashback; Personalized Outreach / Call; Loyalty Points Boost,0
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0,1,0,1,6,0.3,2,The ATM was out of order.,0,1,1,3,1,3,0,1,4.2105263157894735,2.025,1,1,42.85714285714285,0,2,At Risk,2.358834475326145,-0.43687542027154214,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0,1,0,0,4,4.5,6,"Great service, very helpful staff.",0,1,1,0,2,3,0,0,5.438596491228069,3.0,0,0,29.26829268292683,0,0,At Risk,1.9247768666828124,0.37736741055235523,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0,1,0,0,1,1.5,4,Very satisfied with the bank's services.,0,1,0,6,1,4,0,1,4.035087719298246,2.1951219512195124,0,1,39.67741935483871,0,0,At Risk,2.377569502373483,-1.1637071275390098,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0,1,0,0,7,4.0,9,Smooth and easy process.,0,0,0,2,1,4,0,1,3.947368421052632,1.425,0,1,60.0,0,0,At Risk,3.5436548912887376,-1.174063917748116,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,1
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0,1,0,0,2,0.7,8,Very satisfied with the bank's services.,0,1,0,3,1,4,0,1,1.9298245614035083,2.111111111111111,0,1,41.53846153846154,0,0,At Risk,2.8110627799348955,-3.62918163008363,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0,1,0,1,6,1.5,6,Smooth and easy process.,0,1,1,6,1,0,0,0,2.2807017543859645,2.9166666666666665,1,0,30.0,0,0,At Risk,1.3619978111974893,-1.8718546347022045,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0,1,0,1,7,1.1,9,The app is easy to use.,0,0,1,2,1,0,0,1,2.456140350877193,1.25,1,1,67.5,0,2,At Risk,3.9511730183882245,-1.725496739262768,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,1
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0,1,0,0,1,3.9,0,"Routine service, nothing special.",0,1,0,2,3,4,0,1,7.5438596491228065,2.6666666666666665,0,0,32.72727272727273,0,0,At Risk,2.25348903891715,1.8030015853637016,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0,1,0,0,7,2.9,2,Smooth and easy process.,0,1,0,2,2,4,0,0,4.912280701754386,3.333333333333333,0,0,26.341463414634145,0,0,Others,0.9124570789271883,-0.36370189903752664,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0,1,0,0,2,1.8,9,The ATM was out of order.,0,1,1,5,1,1,0,0,3.0701754385964906,1.74,0,0,50.0,0,0,At Risk,3.1598607718322667,-2.183346213854793,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0,1,0,0,2,3.3,5,Experienced a problem with online banking.,3,1,0,2,1,5,0,0,5.263157894736842,2.142857142857143,0,0,40.38461538461539,0,3,At Risk,1.3844132642164924,0.20998309223844655,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,0
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0,1,0,0,1,0.9,5,Long wait times for customer service.,2,1,1,3,2,2,0,1,3.684210526315789,2.3823529411764706,0,1,36.42857142857143,0,1,At Risk,1.8641248439864628,-1.0844648857233212,At Risk,Retention Discount / Cashback; Personalized Outreach / Call; Loyalty Points Boost,0
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0,1,0,0,5,4.1,10,Service was okay.,0,1,1,6,1,3,0,0,4.7368421052631575,2.106382978723404,0,0,41.47058823529412,0,0,At Risk,2.84434815678006,-0.7151207513755024,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
